ID	pop	age	sex	mass	b.l	b.w	b.d	w.l	t.max	t.min	t.w	ts.l	h.l
B72793.Huanuco.CarpaChavin	CarpaChavin	a	m	28	12.23	3.26	4.49	80.47	85.51	48.46	11.87	22.92	16.71
B72800.Huanuco.CarpaChavin	CarpaChavin	a	m	27.1	12.16	3.64	4.53	81.36	85.96	50.35	13.41	23.53	18.88
B72803.Huanuco.CarpaChavin	CarpaChavin	a	m	27.8	11.83	3.11	4.12	79.31	83.87	50.92	13.12	22.44	17.95
B72801.Huanuco.CarpaChavin	CarpaChavin	a	m	29.7	12.04	3.08	4.29	82.33	80.95	52.62	13.75	24.3	17.91
B72796.Huanuco.CarpaChavin	CarpaChavin	a	m	29.9	11.83	3.49	4.36	82.11	87.91	52.76	13.13	23.69	16.74
B72795.Huanuco.CarpaChavin	CarpaChavin	a	f	27.4	11.45	3.19	damaged	77.16	molt	molt	10.95	22.48	18.85
B72844.Cajamarca.Celendin	Celendin	a	f	22.9	10.77	3.12	4.43	70.2	77.93	39.66	11.77	22.1	16.83
B72850.Cajamarca.Celendin	Celendin	a	m	25.4	10.93	3.05	4.41	77.6	84.03	39.83	11.26	23.46	17.94
B72845.Cajamarca.Celendin	Celendin	j	f	20.6	10.08	2.72	3.97	68.59	75.9	41.39	9.19	21.27	16.59
B72847.Cajamarca.Celendin	Celendin	a	m	23.9	10.63	2.82	4.2	76.98	81.15	45.07	11.16	damaged	16.41
B72848.Cajamarca.Celendin	Celendin	a	f	23.6	11.08	2.98	4.23	71.73	76.32	45.36	damaged	21.71	16.89
B72851.Cajamarca.Celendin	Celendin	a	m	25.1	11.09	2.92	4.11	78.5	84.77	45.79	12.5	22.55	damaged
B72843.Cajamarca.Celendin	Celendin	a	m	24.4	11.01	2.92	4.35	74.81	80.95	45.98	11.81	22.74	17.98
B72842.Cajamarca.Celendin	Celendin	a	f	24.3	10.71	3.23	4	74.8	82.15	46.55	12.96	21.73	17.74
B72846.Cajamarca.Celendin	Celendin	a	f	23.7	11.32	3.01	4.18	72.35	80.44	46.71	10.43	21.9	16.76
B72849.Cajamarca.Celendin	Celendin	j	m	25.4	10.38	2.95	4.25	molt	molt	molt	molt	22.34	17.71
LSU80513.Cajamarca.Celendin	Celendin	a	f	25	11.23	damaged	damaged	73.08	molt	molt	molt	22.84	17.68
B72791.Huanuco.Chavinillo	Chavinillo	j	m	27.6	10.29	2.63	4.04	75.84	87.33	43.32	12.13	22.39	18.16
B72788.Huanuco.Chavinillo	Chavinillo	a	m	28	12.58	2.79	4.54	72.39	75.62	43.48	10.36	22.08	18.56
B72789.Huanuco.Chavinillo	Chavinillo	a	f	28.9	11.38	3.13	4.51	78.88	84.65	48.94	10.42	24.05	17.91
B72790.Huanuco.Chavinillo	Chavinillo	j	m	23.3	11.41	2.92	4.12	77.55	78.33	49.02	11.06	23.94	16.57
B72792.Huanuco.Chavinillo	Chavinillo	a	m	31	12.29	3.07	4.48	78.4	molt	molt	molt	22.07	18.63
B72896.Ancash.Chinchan	Chinchan	a	m	26.2	10.95	3.18	4.35	81.03	81.39	41.79	13.71	24.22	18.08
B72902.Ancash.Chinchan	Chinchan	a	f	26.8	10.82	2.9	4.09	81.04	80.32	43.14	11.03	23.04	17.23
B72897.Ancash.Chinchan	Chinchan	a	m	25.4	11.48	3.23	4.26	78.49	78.89	44.05	12.54	23.36	17.51
B72898.Ancash.Chinchan	Chinchan	a	f	25.9	10.8	3.33	4.05	76.4	83.66	44.43	12.94	23.97	18.65
B72900.Ancash.Chinchan	Chinchan	a	f	25.7	11.64	2.69	3.94	79.03	82.07	49.56	11.79	23.01	17.96
B72901.Ancash.Chinchan	Chinchan	a	m	27.5	11.82	3.16	4.37	81.12	87.24	50.27	14.21	23.95	18.05
B72903.Ancash.Chinchan	Chinchan	a	m	28	11.81	3.17	4.25	79.86	84.72	50.44	12.04	22.94	16.74
B72895.Ancash.Chinchan	Chinchan	a	m	27.5	11.16	3.31	4.28	83.66	87.23	52.1	12.49	23.42	18.14
B72893.Ancash.Chinchan	Chinchan	a	m	25.9	NA	NA	NA	NA	NA	NA	NA	NA	NA
B72894.Ancash.Chinchan	Chinchan	a	f	27.5	NA	2.86	4.59	77.14	NA	NA	NA	23.92	18.37
B72899.Ancash.Chinchan	Chinchan	a	m	25.2	11.34	3.01	4.33	NA	NA	NA	NA	22.69	18.59
NK_173896	Chinchan	a	m	24.08	NA	NA	NA	NA	NA	NA	NA	NA	NA
