ID	h.theta.crow	h.phi.crow	r.achieved.crow	bril.crow	h.theta.back	h.phi.back	r.achieved.back	bril.back	h.theta.rump	h.phi.rump	r.achieved.rump	bril.rump	h.theta.tail	h.phi.tail	r.achieved.tail	bril.tail	h.theta.bell	h.phi.bell	r.achieved.bell	bril.bell	h.theta.brea	h.phi.brea	r.achieved.brea	bril.brea	h.theta.thro	h.phi.thro	r.achieved.thro	bril.thro	h.theta.wing	h.phi.wing	r.achieved.wing	bril.wing	h.theta.cheek	h.phi.cheek	r.achieved.cheek	bril.cheek
B72844.Cajamarca.Celendin	-0.166258342459475	-0.712340451448212	0.891202660002216	0.0693787567490226	0.176245934777355	-1.01615038296917	0.851009474055642	0.0506326667598106	0.197434215042897	-1.06102963787304	0.80649152628755	0.0702763465513974	-0.14193815341306	-0.82741427235095	0.824755260156258	0.0740189189630426	0.195612634895913	-1.0563553103785	0.840143700680661	0.105489283844154	0.217080270659947	-1.15106231976464	0.811104161336489	0.176048406182708	0.229359953725602	-1.24329340750515	0.763641263194596	0.382935986235715	-0.167471229597901	-0.723678181223848	0.88940497252893	0.0562626098352227	0.103462973488846	-1.03321533568136	0.829282926753167	0.0760433114400232
B72845.Cajamarca.Celendin	-0.146419278681032	-0.717226280004308	0.900777669376187	0.0774211957036677	0.203574047092932	-1.06059497335951	0.841743946693935	0.051389259378817	0.161388700744302	-1.10367474507418	0.798254268751514	0.0847744276301005	-0.124827863529555	-0.84645815030158	0.834406237514672	0.0679138907197703	0.221363812284497	-1.07888375134304	0.823590044986311	0.0783046434224003	0.183612567006093	-1.06671846457323	0.839333326376275	0.144793901972337	0.210741606385573	-1.21698508185805	0.77344938199691	0.267524799383047	-0.158777202297238	-0.740496268801528	0.887176341732569	0.0571572876503607	0.124749213590199	-1.05558669489745	0.826846272305955	0.0894796328791048
B72846.Cajamarca.Celendin	-0.123666599096491	-0.762635342618852	0.886668559897075	0.0754249147247176	0.18039857598258	-1.08143208581353	0.83949684179585	0.0472596217175888	0.212376968383666	-1.20443664702364	0.766609765359	0.0768267751641964	-0.134629774708183	-0.814587243820857	0.837637795138447	0.07703386974162	0.228857904189806	-1.20469682197383	0.781833673343989	0.0807568938782984	0.228670651443026	-1.1534987149994	0.817116637903665	0.13227908175898	0.288846762655258	-1.26866283252607	0.781454071535367	0.316035773447147	-0.119977581097064	-0.777290169562841	0.885821109964606	0.0520097237426994	0.243553441716731	-1.1883391308655	0.801314137937485	0.134587201157571
B72847.Cajamarca.Celendin	-0.149148646389426	-0.707793289825269	0.906528170514191	0.0610631230870095	0.193521397369439	-1.05257462371187	0.861595629334818	0.0419941770106498	0.196291419120429	-1.03018136146338	0.83134298342837	0.0582953490654384	-0.151112077373578	-0.804771445062722	0.841599307358428	0.0651110020454125	0.199763043246875	-1.0252514150375	0.858835748846706	0.067241726115879	0.236903127410104	-1.15867315142354	0.797057502448756	0.15141600359527	0.156370974654361	-1.20233267127486	0.767940711977546	0.196755669236465	-0.164376271575942	-0.726053120591889	0.899102252787475	0.0476928469869277	0.200731497643643	-1.14504402835699	0.8043059947445	0.0906357918419085
B72848.Cajamarca.Celendin	-0.165527161156835	-0.721636580225747	0.900473832947055	0.0624837101874831	0.178678265891537	-1.07188866630395	0.812191141663773	0.0553640775630734	0.191969454076025	-1.01602641734496	0.831621305055232	0.0635745542138543	-0.155209807712018	-0.805948065539887	0.83829743839407	0.0627739745817993	0.21135120393984	-1.06765584561526	0.8345680062361	0.115612968072329	0.22564378530815	-1.13445099382805	0.821028390278396	0.225253262873844	0.183769531831859	-1.17283327523322	0.815346252104826	0.223559221642423	-0.140449470610581	-0.784481741180806	0.863982353882882	0.0668130103273325	0.186681601138261	-1.14719002292574	0.813371470972002	0.1810468135119
B72849.Cajamarca.Celendin	-0.14982658495955	-0.742369446122709	0.89589659694831	0.0733167578340757	0.17440740512388	-1.01888716383993	0.847971844724014	0.0492772530363612	0.179538134101098	-1.03219600481013	0.822217044494977	0.0663666132818271	-0.118775960404873	-0.88999069478323	0.816493426748277	0.065171496671452	0.221657436564397	-1.08019134097022	0.831522207691392	0.105390709026557	0.220378100796323	-1.11080548387692	0.823867935472514	0.182353976539789	0.209646586076105	-1.15425530138149	0.839184667874959	0.194469498215863	-0.133807272919092	-0.832778161670777	0.846200792238367	0.0483538823886657	0.127149486480623	-1.03010568319126	0.836061968105141	0.103201700373532
B72850.Cajamarca.Celendin	-0.161011037626146	-0.697565522648286	0.918207971532174	0.0502116971497933	0.171634580936129	-1.02595198548761	0.856705501255295	0.0459898308205551	0.148026682807552	-0.974525984570584	0.873609088466471	0.0475862554223025	-0.148229554571597	-0.846264796378004	0.826351667224747	0.0626326714760028	0.228488166595999	-1.10412407943356	0.826572186376309	0.0744766464650743	0.213645330805435	-1.12349409410223	0.823458204676536	0.165903044300348	0.224953363404319	-1.21821631135198	0.793256842755334	0.208945717523905	-0.0446863912230127	-0.893624712588614	0.855673582135995	0.0449651815055701	0.151679015398017	-1.08953373891558	0.813056769895414	0.0878308229404606
B72851.Cajamarca.Celendin	-0.11731199096759	-0.750421265404595	0.901915725026141	0.0819469313752606	0.165054757571975	-0.979121932884525	0.869089385820737	0.0466349584010437	0.196344530077381	-1.01182294201767	0.834637018135826	0.0552674514404096	-0.137469143164208	-0.794124430499048	0.849682208391306	0.0715775109017365	0.213308827472576	-1.10231861596535	0.820212839504172	0.0762912164279138	0.196385122583104	-1.08562731407005	0.834408963959415	0.140222969391494	0.244322210935829	-1.22077324839599	0.807430997021141	0.209655393636771	-0.0868163055014722	-0.847363310856934	0.853454345562323	0.0588242174497915	0.139939387310967	-1.06870995059536	0.815685331351054	0.0875346085870927
B72852.Amazonas.Duraznopampa	-0.182100298024	-0.715535813865343	0.90505218478031	0.0508986715486858	0.2415206074745	-1.11737997598836	0.835990111957125	0.0604031561230309	0.23795756141968	-1.06205639792853	0.850288005042165	0.0574235993141327	-0.113261442399981	-0.834692863888837	0.848967402145813	0.0742854713756271	0.254790825300426	-1.09409192745972	0.85097897488426	0.0848260428908207	0.300034133656512	-1.17137049866713	0.814841282980052	0.202157458010438	0.35661536409954	-1.27635496645339	0.799803183900132	0.250843419474203	-0.0720497942986507	-0.936767907405925	0.821602829119344	0.0784132920296732	0.28806744683639	-1.1714262331304	0.805444187100948	0.132127955146517
B72853.Amazonas.Duraznopampa	-0.154377507619574	-0.746181245333808	0.903794842610915	0.0531568628933063	0.226469027788798	-1.08291515784294	0.852481505176976	0.0469473151333839	0.198164543969383	-1.03773233460763	0.831978228965503	0.0601248327913757	-0.109169350958805	-0.872034114064067	0.820134075007881	0.0995394296304191	0.275537995375595	-1.13580654047701	0.848427480634744	0.0942876525274995	0.334369124335364	-1.2072032765405	0.811621165734004	0.142038216315559	0.349234849702128	-1.30603181069975	0.758855603805548	0.171107119619313	-0.119443812602815	-0.794251783425697	0.876343693964721	0.0665751257402307	0.151304284353117	-1.09410976499133	0.81804359772241	0.0841672906861138
